Name,Team,billikenTeam,contract,salary,point_value,repl,par,PA,HR,R,RBI,SB,AVG,IP,W,SV,SO,ERA,WHIP,p_c,p_1b,p_2b,p_3b,p_ss,p_of,p_ci,p_mi,ev,surplus
Teoscar Hernandez,LAD,Free Birds,Opt,20,7.4,3.3,4.1000000000000005,595,29,75,92,6,0.261,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,17.2,-2.8
Logan Webb,SFG,Hoosiers,2026,16,5.6,1.6,3.9999999999999996,NA,NA,NA,NA,NA,NA,202,15,0,191,3.19,1.17,0,0,0,0,0,0,0,0,16.9,0.9
Jhoan Duran,PHI,Blue Socks,2,17,5.6,1.6,3.9999999999999996,NA,NA,NA,NA,NA,NA,70,7,29,84,2.67,1.1,0,0,0,0,0,0,0,0,16.9,-0.1
Seiya Suzuki,CHC,Melonheads,2,21,7.2,3.3,3.9000000000000004,630,27,79,88,7,0.256,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,16.6,-4.4
Drake Baldwin,ATL,Free Birds,2,1,5.8,1.9,3.9,528,21,63,75,1,0.266,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,16.6,15.6
Chris Sale,ATL,Westside Marauders,Opt,13,5.5,1.6,3.9,NA,NA,NA,NA,NA,NA,165,12,0,200,3.15,1.1,0,0,0,0,0,0,0,0,16.6,3.6
Andy Pages,LAD,Westside Marauders,2,3,7.1,3.3,3.8,602,26,75,85,10,0.257,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,16.3,13.3
Brice Turang,MIL,National Pastime,Opt,7,7.1,3.3,3.8,651,14,82,68,28,0.259,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,1,16.3,9.3
Alec Burleson,STL,National Pastime,Opt,1,7,3.3,3.7,609,22,70,80,6,0.276,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,1,0,16,15
Christian Yelich,MIL,NA,NA,NA,7,3.3,3.7,630,20,81,80,17,0.256,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,16,NA
Cristopher Sanchez,PHI,Louisville Sluggers,2026,6,5.3,1.6,3.6999999999999997,NA,NA,NA,NA,NA,NA,200,12,0,193,3.21,1.16,0,0,0,0,0,0,0,0,16,10
Ezequiel Tovar,COL,Erie Lakers,2027,11,6.9,3.3,3.6000000000000005,651,21,82,74,9,0.266,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,1,15.7,4.7
Eugenio Suarez,CIN,NA,NA,NA,6.9,3.3,3.6000000000000005,616,35,79,97,3,0.235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.7,NA
Devin Williams,NYM,NA,NA,NA,5.2,1.6,3.6,NA,NA,NA,NA,NA,NA,64,5,32,85,3.13,1.14,0,0,0,0,0,0,0,0,15.7,NA
Matt Chapman,SFG,Free At Last,Opt,18,6.8,3.3,3.5,672,27,89,84,9,0.242,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0,15.4,-2.6
Michael Busch,CHC,Big Red Machine,2027,11,6.8,3.3,3.5,595,28,83,81,3,0.253,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,15.4,4.4
Adolis Garcia,PHI,NA,NA,NA,6.8,3.3,3.5,609,27,75,88,13,0.241,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,15.4,NA
Willy Adames,SFG,National Pastime,2026,27,6.7,3.3,3.4000000000000004,679,27,85,87,12,0.236,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,1,15.1,-11.9
Oneil Cruz,PIT,Westside Marauders,2026,22,6.7,3.3,3.4000000000000004,539,22,69,67,29,0.237,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,0,1,15.1,-6.9
Luis Robert Jr.,NYM,Blue Socks,1,21,6.7,3.3,3.4000000000000004,567,21,69,76,29,0.235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.1,-5.9
Luis Arraez,SFG,NA,NA,NA,6.7,3.3,3.4000000000000004,623,6,73,58,9,0.308,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,1,1,15.1,NA
Will Smith,LAD,Westside Marauders,2,15,5.2,1.9,3.3000000000000003,500,19,67,67,2,0.255,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,14.8,-0.2
Bryson Stott,PHI,NA,NA,NA,6.6,3.3,3.3,623,14,73,67,25,0.258,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,1,14.8,NA
Heliot Ramos,SFG,Hoosiers,2,16,6.6,3.3,3.3,644,23,78,79,7,0.257,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,14.8,-1.2
Dansby Swanson,CHC,Big Red Machine,2,19,6.5,3.3,3.2,686,22,82,80,16,0.241,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,1,14.5,-4.5
Agustin Ramirez,MIA,Hoosiers,2,2,5.1,1.9,3.1999999999999997,478,18,60,62,12,0.244,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,1,0,14.5,12.5
Dylan Crews,WSN,Blue Socks,Opt,1,6.4,3.3,3.1000000000000005,595,18,72,69,26,0.244,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,14.2,13.2
Hunter Greene,CIN,Westside Marauders,Opt,14,4.7,1.6,3.1,NA,NA,NA,NA,NA,NA,180,11,0,212,3.74,1.11,0,0,0,0,0,0,0,0,14.2,0.2
Yoshinobu Yamamoto,LAD,Melonheads,Opt,26,4.7,1.6,3.1,NA,NA,NA,NA,NA,NA,155,12,0,165,3.38,1.11,0,0,0,0,0,0,0,0,14.2,-11.8
Alex Bregman,CHC,NA,NA,NA,6.3,3.3,3,672,23,87,82,3,0.25,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0,13.9,NA
Xavier Edwards,MIA,Louisville Sluggers,Opt,1,6.3,3.3,3,602,5,72,50,27,0.281,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,1,13.9,12.9
Alec Bohm,PHI,NA,NA,NA,6.3,3.3,3,609,16,70,77,3,0.278,NA,NA,NA,NA,NA,NA,0,1,0,1,0,0,1,0,13.9,NA
Brenton Doyle,COL,Westside Marauders,2,10,6.3,3.3,3,595,19,69,70,21,0.248,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,13.9,3.9
Kyle Stowers,MIA,Big Red Machine,2,3,6.2,3.3,2.9000000000000004,609,27,73,84,4,0.243,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,13.6,10.6
Ozzie Albies,ATL,Free At Last,2026,42,6.2,3.3,2.9000000000000004,630,19,75,75,11,0.254,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,1,13.6,-28.4
Luis Garcia Jr.,WSN,Louisville Sluggers,2,19,6.2,3.3,2.9000000000000004,525,16,63,67,13,0.272,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,1,13.6,-5.4
Mickey Moniak,COL,Blue Socks,2,1,6.2,3.3,2.9000000000000004,490,21,65,68,9,0.266,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,13.6,12.6
Gabriel Moreno,ARI,NA,NA,NA,4.7,1.9,2.8000000000000003,456,11,54,56,4,0.279,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,13.3,NA
Zack Wheeler,PHI,Melonheads,Opt,28,4.4,1.6,2.8000000000000003,NA,NA,NA,NA,NA,NA,147,10,0,160,3.31,1.11,0,0,0,0,0,0,0,0,13.3,-14.7
Daniel Palencia,CHC,Hoosiers,2,1,4.4,1.6,2.8000000000000003,NA,NA,NA,NA,NA,NA,67,5,30,75,3.68,1.24,0,0,0,0,0,0,0,0,13.3,12.3
Ian Happ,CHC,Free At Last,Opt,18,6.1,3.3,2.8,658,23,84,79,8,0.243,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,13.3,-4.7
Jurickson Profar,ATL,Blue Socks,Opt,2,6.1,3.3,2.8,644,19,82,73,9,0.253,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,13.3,11.3
Xander Bogaerts,SDP,NA,NA,NA,6,3.3,2.7,609,13,68,63,17,0.264,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,1,13,NA
Ryan Walker,SFG,Big Red Machine,2,1,4.3,1.6,2.6999999999999997,NA,NA,NA,NA,NA,NA,63,5,27,68,3.27,1.18,0,0,0,0,0,0,0,0,13,12
Masyn Winn,STL,Westside Marauders,Opt,11,5.9,3.3,2.6000000000000005,644,15,79,68,13,0.255,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,1,12.7,1.7
Otto Lopez,MIA,Big Red Machine,2,1,5.9,3.3,2.6000000000000005,609,12,67,65,16,0.266,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,1,12.7,11.7
Jorge Polanco,NYM,NA,NA,NA,5.9,3.3,2.6000000000000005,546,24,66,77,5,0.251,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,1,12.7,NA
Jakob Marsee,MIA,Hoosiers,2,1,5.9,3.3,2.6000000000000005,581,13,73,58,35,0.231,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,12.7,11.7
Francisco Alvarez,NYM,Westside Marauders,2027,11,4.5,1.9,2.6,446,22,54,63,1,0.238,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,12.7,1.7
J.T. Realmuto,PHI,Blue Socks,2,13,4.5,1.9,2.6,500,15,56,58,7,0.251,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,12.7,-0.3
Raisel Iglesias,ATL,National Pastime,2,24,4.2,1.6,2.6,NA,NA,NA,NA,NA,NA,66,5,26,71,3.61,1.15,0,0,0,0,0,0,0,0,12.7,-11.3
Marcus Semien,NYM,NA,NA,NA,5.8,3.3,2.5,644,20,83,75,9,0.242,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,1,12.4,NA
Noelvi Marte,CIN,Melonheads,Opt,16,5.8,3.3,2.5,539,17,67,65,15,0.253,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,1,0,12.4,-3.6
Jesus Luzardo,PHI,Louisville Sluggers,2027,19,4.1,1.6,2.4999999999999996,NA,NA,NA,NA,NA,NA,179,12,0,197,3.77,1.19,0,0,0,0,0,0,0,0,12.4,-6.6
Pete Fairbanks,MIA,NA,NA,NA,4.1,1.6,2.4999999999999996,NA,NA,NA,NA,NA,NA,62,4,27,64,3.38,1.2,0,0,0,0,0,0,0,0,12.4,NA
Konnor Griffin,PIT,NA,NA,NA,5.7,3.3,2.4000000000000004,469,11,67,55,23,0.26,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,12.2,NA
Matt McLain,CIN,Hoosiers,2028,16,5.7,3.3,2.4000000000000004,616,19,75,68,18,0.235,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,1,12.2,-3.8
Sal Stewart,CIN,Westside Marauders,2,1,5.7,3.3,2.4000000000000004,490,18,63,67,8,0.264,NA,NA,NA,NA,NA,NA,0,1,1,1,0,0,1,1,12.2,11.2
Daylen Lile,WSN,Erie Lakers,2,1,5.7,3.3,2.4000000000000004,553,11,66,64,14,0.267,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,12.2,11.2
Bryan Reynolds,PIT,Free Birds,Opt,22,5.7,3.3,2.4000000000000004,644,19,73,76,5,0.253,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,12.2,-9.8
Ramon Laureano,SDP,Melonheads,2,1,5.6,3.3,2.3,560,21,70,73,9,0.242,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,11.9,10.9
Jordan Beck,COL,Hoosiers,2,4,5.6,3.3,2.3,560,16,64,63,16,0.252,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,11.9,7.9
Nick Pivetta,SDP,National Pastime,2,13,3.9,1.6,2.3,NA,NA,NA,NA,NA,NA,183,11,0,200,3.92,1.17,0,0,0,0,0,0,0,0,11.9,-1.1
Jung Hoo Lee,SFG,Blue Socks,Opt,15,5.5,3.3,2.2,609,10,68,64,9,0.271,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,11.6,-3.4
Abner Uribe,MIL,Westside Marauders,2,1,3.8,1.6,2.1999999999999997,NA,NA,NA,NA,NA,NA,72,4,19,87,3.11,1.21,0,0,0,0,0,0,0,0,11.6,10.6
Brandon Woodruff,MIL,Hoosiers,2,12,3.7,1.6,2.1,NA,NA,NA,NA,NA,NA,149,10,0,158,3.74,1.15,0,0,0,0,0,0,0,0,11.3,-0.7
Spencer Strider,ATL,Free Birds,2,17,3.7,1.6,2.1,NA,NA,NA,NA,NA,NA,159,12,0,187,3.85,1.21,0,0,0,0,0,0,0,0,11.3,-5.7
Emilio Pagan,CIN,Louisville Sluggers,2,1,3.7,1.6,2.1,NA,NA,NA,NA,NA,NA,66,3,27,71,4.05,1.19,0,0,0,0,0,0,0,0,11.3,10.3
Dennis Santana,PIT,National Pastime,2,3,3.7,1.6,2.1,NA,NA,NA,NA,NA,NA,68,4,26,63,3.72,1.25,0,0,0,0,0,0,0,0,11.3,8.3
Harrison Bader,SFG,Blue Socks,2,2,5.3,3.3,2,532,15,62,59,15,0.251,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,11,9
TJ Friedl,CIN,Free Birds,2026,11,5.3,3.3,2,623,15,76,61,13,0.245,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,11,-0
Brandon Lowe,PIT,Louisville Sluggers,1,15,5.3,3.3,2,546,23,69,68,4,0.243,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,1,11,-4
Willi Castro,COL,Melonheads,2,17,5.3,3.3,2,546,13,68,55,15,0.256,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,1,11,-6
Joey Ortiz,MIL,Big Red Machine,Opt,6,5.2,3.3,1.9000000000000004,630,12,73,66,15,0.248,NA,NA,NA,NA,NA,NA,0,0,0,1,1,0,1,1,10.7,4.7
Nolan Arenado,ARI,Blue Socks,2026,33,5.2,3.3,1.9000000000000004,595,17,64,75,3,0.254,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0,10.7,-22.3
Victor Scott II,STL,Free At Last,2,5,5.2,3.3,1.9000000000000004,581,9,65,50,38,0.226,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,10.7,5.7
Ryan O'Hearn,PIT,Erie Lakers,2,11,5.2,3.3,1.9000000000000004,546,15,64,63,3,0.267,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,1,0,10.7,-0.3
Tommy Edman,LAD,Blue Socks,2026,29,5.1,3.3,1.7999999999999998,511,15,64,61,11,0.25,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,1,10.4,-18.6
Sal Frelick,MIL,NA,NA,NA,5.1,3.3,1.7999999999999998,511,8,60,52,15,0.271,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,10.4,NA
Justin Crawford,PHI,NA,NA,NA,5.1,3.3,1.7999999999999998,427,6,56,43,22,0.276,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,10.4,NA
Marcell Ozuna,PIT,Big Red Machine,2026,22,5.1,3.3,1.7999999999999998,525,23,63,70,0,0.246,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,10.4,-11.6
Michael King,SDP,Big Red Machine,Opt,2,3.4,1.6,1.7999999999999998,NA,NA,NA,NA,NA,NA,170,11,0,179,3.68,1.24,0,0,0,0,0,0,0,0,10.4,8.4
Blake Snell,LAD,NA,NA,NA,3.4,1.6,1.7999999999999998,NA,NA,NA,NA,NA,NA,141,10,0,175,3.55,1.24,0,0,0,0,0,0,0,0,10.4,NA
Freddy Peralta,NYM,National Pastime,Opt,24,3.4,1.6,1.7999999999999998,NA,NA,NA,NA,NA,NA,162,11,0,177,3.83,1.22,0,0,0,0,0,0,0,0,10.4,-13.6
Shohei Ohtani,LAD,Louisville Sluggers,Opt,34,3.4,1.6,1.7999999999999998,NA,NA,NA,NA,NA,NA,116,8,0,138,3.51,1.13,0,0,0,0,0,0,0,0,10.4,-23.6
Lourdes Gurriel Jr.,ARI,Erie Lakers,Opt,13,5,3.3,1.7000000000000002,469,15,52,61,7,0.266,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,10.1,-2.9
Brandon Marsh,PHI,Erie Lakers,2,8,4.9,3.3,1.6000000000000005,497,14,59,59,10,0.256,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,9.8,1.8
Miguel Andujar,SDP,Free Birds,2,1,4.9,3.3,1.6000000000000005,504,13,55,61,3,0.274,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,1,0,9.8,8.8
Aaron Nola,PHI,Blue Socks,2,20,3.2,1.6,1.6,NA,NA,NA,NA,NA,NA,180,11,0,177,4.11,1.21,0,0,0,0,0,0,0,0,9.8,-10.2
JJ Wetherholt,STL,Hoosiers,2,1,4.8,3.3,1.5,532,11,62,59,11,0.254,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,1,9.5,8.5
Andrew Vaughn,MIL,Westside Marauders,2,15,4.8,3.3,1.5,560,20,58,75,0,0.246,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,9.5,-5.5
Tyler Glasnow,LAD,Hoosiers,Opt,11,3.1,1.6,1.5,NA,NA,NA,NA,NA,NA,133,8,0,155,3.68,1.2,0,0,0,0,0,0,0,0,9.5,-1.5
Matthew Boyd,CHC,National Pastime,2,7,3.1,1.6,1.5,NA,NA,NA,NA,NA,NA,167,11,0,149,3.89,1.23,0,0,0,0,0,0,0,0,9.5,2.5
Trevor Megill,MIL,Erie Lakers,Opt,1,3.1,1.6,1.5,NA,NA,NA,NA,NA,NA,66,5,11,82,3.27,1.17,0,0,0,0,0,0,0,0,9.5,8.5
Lars Nootbaar,STL,NA,NA,NA,4.7,3.3,1.4000000000000004,546,16,70,54,7,0.247,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,9.2,NA
Moises Ballesteros,CHC,Hoosiers,2,1,3.3,1.9,1.4,382,9,41,45,2,0.264,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,9.2,8.2
Chase Burns,CIN,Westside Marauders,2,1,3,1.6,1.4,NA,NA,NA,NA,NA,NA,123,8,0,142,3.75,1.17,0,0,0,0,0,0,0,0,9.2,8.2
Emmet Sheehan,LAD,Blue Socks,2,1,3,1.6,1.4,NA,NA,NA,NA,NA,NA,145,9,0,165,3.96,1.2,0,0,0,0,0,0,0,0,9.2,8.2
Zac Gallen,ARI,Westside Marauders,Opt,26,3,1.6,1.4,NA,NA,NA,NA,NA,NA,182,13,0,169,4.03,1.28,0,0,0,0,0,0,0,0,9.2,-16.8
Tyler Stephenson,CIN,National Pastime,2,12,3.2,1.9,1.3000000000000003,450,14,50,53,1,0.234,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,8.9,-3.1
Mark Vientos,NYM,National Pastime,Opt,1,4.6,3.3,1.2999999999999998,441,20,52,63,1,0.25,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0,8.9,7.9
Joe Musgrove,SDP,NA,NA,NA,2.9,1.6,1.2999999999999998,NA,NA,NA,NA,NA,NA,158,9,0,145,3.89,1.21,0,0,0,0,0,0,0,0,8.9,NA
Brett Baty,NYM,Louisville Sluggers,2,2,4.5,3.3,1.2000000000000002,455,18,54,57,5,0.249,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,1,1,8.6,6.6
Connor Norby,MIA,Blue Socks,Opt,1,4.5,3.3,1.2000000000000002,497,15,61,58,8,0.245,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,1,1,8.6,7.6
Nolan Gorman,STL,National Pastime,2,6,4.5,3.3,1.2000000000000002,532,24,63,70,4,0.22,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,1,1,8.6,2.6
Freddy Fermin,SDP,Erie Lakers,2,7,3.1,1.9,1.2000000000000002,480,11,48,49,3,0.242,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,8.6,1.6
Reynaldo Lopez,ATL,Free Birds,Opt,4,2.8,1.6,1.1999999999999997,NA,NA,NA,NA,NA,NA,148,10,0,149,3.82,1.25,0,0,0,0,0,0,0,0,8.6,4.6
Shota Imanaga,CHC,Melonheads,Opt,13,2.8,1.6,1.1999999999999997,NA,NA,NA,NA,NA,NA,147,9,0,134,4.04,1.18,0,0,0,0,0,0,0,0,8.6,-4.4
Spencer Horwitz,PIT,NA,NA,NA,4.4,3.3,1.1000000000000005,490,11,62,51,2,0.269,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,1,1,8.3,NA
Merrill Kelly,ARI,NA,NA,NA,2.7,1.6,1.1,NA,NA,NA,NA,NA,NA,169,11,0,151,3.94,1.27,0,0,0,0,0,0,0,0,8.3,NA
